time,open,high,low,close,EMA1,EMA2,EMA3,Hammer,Inverted Hammer,Doji,G-Doji,G-Hammer,G-Inv.Hammer,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot
2023-09-25T07:03:00+02:00,4227,4228,4227,4227,4226.919017807317,4225.995568750991,4225.1848831399,0,0,0,0,0,1,NaN,NaN,4212,4228,4212,4228,4212,4228
2023-09-25T07:06:00+02:00,4227,4228,4227,4227,4226.926379824833,4226.034958211736,4225.20294400418,0,0,0,0,0,1,NaN,NaN,4212,4228,4212,4228,4212,4228
2023-09-25T07:09:00+02:00,4226,4227,4226,4226,4226.842163477121,4226.033587301472,4225.2108749096105,0,0,0,0,0,1,NaN,NaN,4212,4228,4212,4228,4212,4228
2023-09-25T07:12:00+02:00,4226,4227,4226,4226,4226.7656031610195,4226.032270152395,4225.21872690056,0,0,0,0,0,1,NaN,NaN,4212,4228,4212,4228,4212,4228
2023-09-25T07:15:00+02:00,4227,4227,4227,4227,4226.786911964563,4226.070220342497,4225.236451011002,0,0,0,1,0,0,NaN,NaN,4212,4228,4212,4228,4212,4228
2023-09-25T07:18:00+02:00,4228,4228,4228,4228,4226.897192695057,4226.145897976125,4225.263949010892,0,0,0,1,0,0,NaN,NaN,4212,4228,4212,4228,4212,4228
2023-09-25T07:21:00+02:00,4228,4229,4228,4228,4226.997447904598,4226.218607859414,4225.291173398844,0,0,0,0,0,1,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:24:00+02:00,4228,4228,4228,4228,4227.08858900418,4226.288466374731,4225.318126897363,0,0,0,1,0,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:27:00+02:00,4227,4228,4227,4228,4227.171444549254,4226.355585340428,4225.344812201867,0,0,0,1,0,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:30:00+02:00,4228,4228,4228,4228,4227.24676777205,4226.420072189822,4225.371231980953,0,0,0,1,0,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:33:00+02:00,4227,4227,4226,4227,4227.224334338227,4226.442814456888,4225.3874386279085,0,0,0,0,1,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:36:00+02:00,4227,4227,4226,4226,4227.11303121657,4226.425449184069,4225.3935337659395,0,0,0,1,0,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:39:00+02:00,4226,4227,4226,4227,4227.102755651427,4226.447980588616,4225.409518504587,0,0,0,1,0,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:42:00+02:00,4226,4227,4226,4227,4227.0934142285705,4226.46962840867,4225.425344191109,0,0,0,1,0,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:45:00+02:00,4227,4227,4226,4226,4226.994012935064,4226.451211608331,4225.431062159357,0,0,0,1,0,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:48:00+02:00,4226,4227,4226,4226,4226.903648122786,4226.433517035455,4225.436723232398,0,0,0,0,0,1,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:51:00+02:00,4225,4227,4225,4227,4226.91240738435,4226.455732053672,4225.452278225111,0,0,0,1,0,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:54:00+02:00,4227,4227,4225,4225,4226.7385521675915,4226.398644522156,4225.447777944264,0,0,0,1,0,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T07:57:00+02:00,4226,4226,4225,4226,4226.671411061447,4226.38301140364,4225.4532726910875,0,0,0,0,1,0,NaN,NaN,4212,4229,4212,4229,4212,4229
2023-09-25T08:00:00+02:00,4226,4226,4224,4224,4226.428555510406,4226.289559976046,4225.4388122663,0,0,0,1,0,0,NaN,NaN,NaN,NaN,4212,4229,NaN,NaN
2023-09-25T08:03:00+02:00,4224,4225,4223,4225,4226.298686827642,4226.238988996593,4225.434445975094,0,0,0,0,1,0,NaN,NaN,NaN,NaN,4212,4229,NaN,NaN
2023-09-25T08:06:00+02:00,4224,4226,4223,4226,4226.271533479675,4226.22961687908,4225.440073378327,0,0,0,0,0,0,NaN,NaN,NaN,NaN,4212,4229,NaN,NaN
2023-09-25T08:09:00+02:00,4227,4230,4227,4229,4226.519575890614,4226.33825935441,4225.475495533767,0,0,0,0,0,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:12:00+02:00,4229,4229,4228,4228,4226.654159900558,4226.403425654237,4225.500614981192,0,0,0,1,0,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:15:00+02:00,4227,4227,4226,4227,4226.685599909598,4226.4268207266205,4225.51553423511,0,0,0,0,1,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:18:00+02:00,4227,4227,4226,4226,4226.623272645089,4226.41008265891,4225.520354789985,0,0,0,1,0,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:21:00+02:00,4225,4226,4223,4224,4226.384793313718,4226.315569613463,4225.505226881626,0,0,0,1,0,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:24:00+02:00,4224,4226,4224,4225,4226.258903012471,4226.263978648229,4225.500199748476,0,0,0,0,0,1,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:27:00+02:00,4224,4224,4222,4222,4225.871730011338,4226.096763799279,4225.465371890282,0,0,0,1,0,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:30:00+02:00,4222,4223,4221,4222,4225.519754555761,4225.936106395386,4225.430890577941,0,0,1,1,1,1,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:33:00+02:00,4221,4223,4220,4223,4225.290685959783,4225.820964968116,4225.406702611991,0,0,0,0,0,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:36:00+02:00,4223,4224,4222,4222,4224.991532690712,4225.67112320466,4225.3728050735635,0,0,0,0,0,1,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:39:00+02:00,4222,4222,4221,4222,4224.719575173374,4225.527157588791,4225.339244824076,0,0,0,0,1,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:42:00+02:00,4222,4223,4221,4222,4224.472341066704,4225.388837683348,4225.306018507418,0,0,1,1,1,1,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:45:00+02:00,4221,4223,4221,4223,4224.3384918788215,4225.295157774198,4225.283073049633,0,0,0,1,0,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:48:00+02:00,4224,4224,4222,4223,4224.216810798928,4225.205151586974,4225.26035590486,0,0,0,0,1,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:51:00+02:00,4223,4224,4222,4222,4224.01528254448,4225.0794593678775,4225.227914552573,0,0,0,0,0,1,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:54:00+02:00,4223,4225,4222,4224,4224.013893222254,4225.037127627961,4225.215696497323,0,0,0,1,0,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T08:57:00+02:00,4225,4225,4221,4222,4223.830812020231,4224.918024583727,4225.18369951725,0,0,0,0,0,0,NaN,NaN,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T09:00:00+02:00,4222,4223,4217,4217,4223.209829109301,4224.607513815738,4225.102269671307,0,0,0,0,0,0,4217,4223,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T09:03:00+02:00,4218,4222,4217,4221,4223.008935553909,4224.466042685709,4225.061451067612,0,0,0,1,0,0,4217,4223,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T09:06:00+02:00,4221,4223,4217,4218,4222.553577776282,4224.212472384309,4224.99118787291,0,0,0,0,0,0,4217,4223,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T09:09:00+02:00,4219,4223,4218,4222,4222.503252523892,4224.125708761395,4224.961424809498,0,0,0,1,0,0,4217,4223,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T09:12:00+02:00,4222,4229,4222,4228,4223.002956839902,4224.277641751144,4224.991659388507,0,0,0,0,0,0,4217,4229,NaN,NaN,4212,4230,NaN,NaN
2023-09-25T09:15:00+02:00,4228,4231,4228,4231,4223.729960763548,4224.541263643256,4225.051443872204,0,0,0,1,0,0,4217,4231,NaN,NaN,4212,4231,NaN,NaN
2023-09-25T09:18:00+02:00,4231,4232,4230,4232,4224.481782512316,4224.833763108226,4225.120583734172,0,0,0,0,1,0,4217,4232,NaN,NaN,4212,4232,NaN,NaN
2023-09-25T09:21:00+02:00,4232,4233,4227,4231,4225.074347738469,4225.075576319668,4225.179085388559,0,0,0,0,1,0,4217,4233,NaN,NaN,4212,4233,NaN,NaN
2023-09-25T09:24:00+02:00,4231,4234,4230,4233,4225.794861580427,4225.386338032622,4225.256905434444,0,0,0,1,0,0,4217,4234,NaN,NaN,4212,4234,NaN,NaN
2023-09-25T09:27:00+02:00,4233,4237,4233,4237,4226.813510527661,4225.841775756833,4225.373752146539,0,0,0,1,0,0,4217,4237,NaN,NaN,4212,4237,NaN,NaN
2023-09-25T09:30:00+02:00,4236,4240,4233,4238,4227.830464116055,4226.318568864408,4225.499386453539,0,0,0,0,0,0,4217,4240,NaN,NaN,4212,4240,NaN,NaN
2023-09-25T09:33:00+02:00,4238,4241,4235,4237,4228.664058287322,4226.737448516784,4225.613820419176,0,0,0,0,0,1,4217,4241,NaN,NaN,4212,4241,NaN,NaN
2023-09-25T09:36:00+02:00,4237,4240,4235,4235,4229.240052988475,4227.061470143577,4225.7072152408755,0,0,0,0,0,1,4217,4241,NaN,NaN,4212,4241,NaN,NaN
2023-09-25T09:39:00+02:00,4235,4240,4234,4239,4230.127320898614,4227.529647785005,4225.839481755892,0,0,0,1,0,0,4217,4241,NaN,NaN,4212,4241,NaN,NaN
2023-09-25T09:42:00+02:00,4239,4241,4239,4241,4231.115746271467,4228.057896891475,4225.990332683694,0,0,0,1,0,0,4217,4241,NaN,NaN,4212,4241,NaN,NaN
2023-09-25T09:45:00+02:00,4241,4241,4238,4238,4231.741587519516,4228.447783287887,4226.10983186097,0,0,0,1,0,0,4217,4241,NaN,NaN,4212,4241,NaN,NaN
2023-09-25T09:48:00+02:00,4238,4239,4233,4235,4232.037806835923,4228.704732962872,4226.198291245438,0,0,0,0,0,0,4217,4241,NaN,NaN,4212,4241,NaN,NaN
2023-09-25T09:51:00+02:00,4236,4236,4233,4235,4232.307097123567,4228.951606180014,4226.285870437026,0,0,0,0,1,0,4217,4241,NaN,NaN,4212,4241,NaN,NaN
2023-09-25T09:54:00+02:00,4234,4237,4233,4235,4232.551906475969,4229.188798094523,4226.372578193871,0,0,0,0,0,1,4217,4241,NaN,NaN,4212,4241,NaN,NaN
2023-09-25T09:57:00+02:00,4236,4236,4233,4233,4232.592642250881,4229.338256992777,4226.438522689455,0,0,0,1,0,0,4217,4241,NaN,NaN,4212,4241,NaN,NaN
2023-09-25T10:00:00+02:00,4233,4236,4230,4233,4232.629674773528,4229.481854757766,4226.5038110209025,0,0,1,1,1,1,4217,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:03:00+02:00,4233,4235,4231,4233,4232.663340703207,4229.619821237854,4226.5684497172115,0,0,1,1,1,1,4217,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:06:00+02:00,4233,4235,4231,4234,4232.784855184734,4229.791592954017,4226.64239549117,0,0,0,0,1,0,4217,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:09:00+02:00,4233,4235,4231,4232,4232.713504713394,4229.878197151898,4226.69570498877,0,0,0,0,0,1,4217,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:12:00+02:00,4232,4233,4228,4229,4232.375913375813,4229.843758047902,4226.718633297339,0,0,0,1,0,0,4217,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:15:00+02:00,4229,4229,4224,4224,4231.614466705285,4229.614591065631,4226.691582219753,0,0,0,1,0,0,4217,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:18:00+02:00,4224,4224,4221,4223,4230.831333368441,4229.355195337567,4226.654850058363,0,0,0,0,1,0,4217,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:21:00+02:00,4222,4222,4216,4217,4229.573939425855,4228.8706778733485,4226.558781898579,0,0,0,0,0,0,4216,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:24:00+02:00,4216,4219,4216,4217,4228.430854023505,4228.405161094001,4226.463669640882,0,0,0,0,0,1,4216,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:27:00+02:00,4216,4216,4212,4214,4227.118958203187,4227.840252815805,4226.3396530275395,0,0,0,0,1,0,4212,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:30:00+02:00,4213,4213,4209,4211,4225.6535983665335,4227.1798507445965,4226.187019664081,0,0,0,0,1,0,4209,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:33:00+02:00,4211,4212,4208,4208,4224.048725787758,4226.427699735004,4226.006054294289,0,0,0,0,0,0,4208,4241,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-25T10:36:00+02:00,4208,4208,4200,4203,4222.135205261598,4225.508966412063,4225.777138331162,0,0,0,0,0,0,4200,4241,NaN,NaN,NaN,NaN,NaN,NaN
