Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2020/6/9, 02:15:00, 3394, 3394, 3388, 3389, 603, 136, 270, 333
2020/6/9, 02:18:00, 3389, 3389, 3386, 3387, 212, 49, 138, 74
2020/6/9, 02:21:00, 3387, 3387, 3384, 3384, 462, 52, 362, 100
2020/6/9, 02:24:00, 3383, 3384, 3383, 3384, 465, 50, 262, 203
2020/6/9, 02:27:00, 3384, 3386, 3384, 3384, 321, 39, 148, 173
2020/6/9, 02:30:00, 3384, 3384, 3380, 3381, 162, 37, 123, 39
2020/6/9, 02:33:00, 3381, 3381, 3380, 3380, 120, 12, 91, 29
2020/6/9, 02:36:00, 3380, 3380, 3374, 3375, 220, 34, 197, 23
2020/6/9, 02:39:00, 3375, 3377, 3375, 3377, 109, 24, 52, 57
2020/6/9, 02:42:00, 3377, 3377, 3375, 3375, 29, 12, 22, 7
2020/6/9, 02:45:00, 3376, 3376, 3374, 3375, 48, 15, 18, 30
2020/6/9, 02:48:00, 3376, 3378, 3376, 3378, 121, 34, 52, 69
2020/6/9, 02:51:00, 3378, 3378, 3378, 3378, 21, 8, 21, 0
2020/6/9, 02:54:00, 3377, 3377, 3375, 3375, 181, 62, 162, 19
2020/6/9, 02:57:00, 3376, 3377, 3376, 3377, 53, 22, 19, 34
2020/6/9, 03:00:00, 3376, 3376, 3371, 3372, 242, 83, 163, 79
2020/6/9, 03:03:00, 3371, 3372, 3370, 3371, 278, 57, 127, 151
2020/6/9, 03:06:00, 3372, 3373, 3372, 3373, 45, 17, 17, 28
2020/6/9, 03:09:00, 3373, 3373, 3373, 3373, 4, 2, 4, 0
2020/6/9, 03:12:00, 3373, 3373, 3371, 3371, 66, 18, 50, 16
2020/6/9, 03:15:00, 3372, 3373, 3371, 3372, 60, 16, 40, 20
2020/6/9, 03:18:00, 3372, 3373, 3372, 3373, 81, 28, 67, 14
2020/6/9, 03:21:00, 3374, 3374, 3371, 3372, 136, 32, 92, 44
2020/6/9, 03:24:00, 3372, 3373, 3372, 3373, 19, 9, 8, 11
2020/6/9, 03:27:00, 3374, 3374, 3372, 3373, 43, 20, 13, 30
2020/6/9, 03:30:00, 3374, 3376, 3373, 3376, 165, 54, 44, 121
2020/6/9, 03:33:00, 3377, 3377, 3377, 3377, 73, 16, 20, 53
2020/6/9, 03:36:00, 3378, 3380, 3378, 3379, 276, 18, 87, 189
2020/6/9, 03:39:00, 3380, 3380, 3379, 3379, 92, 23, 46, 46
2020/6/9, 03:42:00, 3379, 3380, 3379, 3379, 94, 25, 27, 67
2020/6/9, 03:45:00, 3380, 3382, 3380, 3381, 130, 21, 46, 84
2020/6/9, 03:48:00, 3382, 3382, 3379, 3379, 74, 18, 57, 17
2020/6/9, 03:51:00, 3379, 3381, 3379, 3380, 143, 32, 28, 115
2020/6/9, 03:54:00, 3380, 3381, 3380, 3381, 61, 21, 15, 46
2020/6/9, 03:57:00, 3381, 3383, 3381, 3383, 48, 11, 2, 46
2020/6/9, 04:00:00, 3384, 3384, 3383, 3384, 139, 28, 73, 66
2020/6/9, 04:03:00, 3384, 3384, 3382, 3382, 23, 7, 18, 5
2020/6/9, 04:06:00, 3382, 3382, 3381, 3381, 139, 35, 61, 78
2020/6/9, 04:09:00, 3381, 3381, 3381, 3381, 26, 8, 5, 21
2020/6/9, 04:12:00, 3381, 3381, 3379, 3380, 126, 22, 51, 75
2020/6/9, 04:15:00, 3380, 3381, 3380, 3380, 28, 16, 17, 11
2020/6/9, 04:18:00, 3381, 3382, 3380, 3382, 30, 16, 22, 8
2020/6/9, 04:21:00, 3381, 3381, 3375, 3375, 169, 20, 139, 30
2020/6/9, 04:24:00, 3376, 3376, 3374, 3374, 59, 14, 23, 36
2020/6/9, 04:27:00, 3374, 3376, 3374, 3375, 33, 14, 5, 28
2020/6/9, 04:30:00, 3374, 3376, 3374, 3375, 51, 21, 34, 17
2020/6/9, 04:33:00, 3375, 3377, 3375, 3376, 31, 12, 5, 26
2020/6/9, 04:36:00, 3376, 3376, 3376, 3376, 4, 3, 4, 0
2020/6/9, 04:39:00, 3376, 3377, 3376, 3377, 46, 7, 12, 34
2020/6/9, 04:42:00, 3377, 3378, 3377, 3378, 29, 11, 12, 17
